date;close;volume
2025-05-19;5.293;11077
2025-05-20;5.36;67351
2025-05-21;5.457;130034
2025-05-22;5.442;57555
2025-05-23;5.408;107687
2025-05-26;5.541;62873
2025-05-27;5.616;188645
2025-05-28;5.72;250281
2025-05-29;5.666;93941
2025-05-30;5.663;60778
2025-06-02;5.682;306873
2025-06-03;5.763;110232
2025-06-04;5.744;121583
2025-06-05;5.808;63456
2025-06-06;5.711;292384
2025-06-09;5.629;216969
2025-06-10;5.421;498950
2025-06-11;5.462;154545
2025-06-12;5.451;127675
2025-06-13;5.471;125005
2025-06-16;5.505;392476
2025-06-17;5.493;100290
2025-06-18;5.528;70216
2025-06-19;5.473;109154
2025-06-20;5.53;60338
2025-06-23;5.479;170918
2025-06-24;5.41;118596
2025-06-25;5.525;164828
2025-06-26;5.689;369838
2025-06-27;5.65;121248
2025-06-30;5.715;98130
2025-07-01;5.5;153728
2025-07-02;5.496;261541
2025-07-03;5.515;204171
2025-07-04;5.574;83781
2025-07-07;5.685;268131
2025-07-08;5.662;366998
2025-07-09;5.724;204147
2025-07-10;5.703;115335
2025-07-11;5.724;261174
2025-07-14;5.796;124811
2025-07-15;5.707;203689
2025-07-16;5.66;95028
2025-07-17;5.752;202942
2025-07-18;5.853;97588
2025-07-21;5.782;114992
2025-07-22;5.669;157268
2025-07-23;5.7;248380
2025-07-24;5.641;184033
2025-07-25;5.606;94486
2025-07-28;5.517;230474
2025-07-29;5.66;331867
2025-07-30;5.624;151575
2025-07-31;5.697;246556
2025-08-01;5.603;260137
2025-08-04;5.68;153398
2025-08-05;5.697;231689
2025-08-06;5.69;75836
2025-08-07;5.615;507093
2025-08-08;5.56;347615
2025-08-11;5.479;306817
2025-08-12;5.576;151487
2025-08-13;5.57;153434
2025-08-14;5.695;41402
2025-08-15;5.654;302020
2025-08-18;5.728;77784
2025-08-19;5.507;172706
2025-08-20;5.461;199806
2025-08-21;5.563;65386
2025-08-22;5.579;95889
2025-08-25;5.615;139123
2025-08-26;5.617;158745
2025-08-27;5.602;166779
2025-08-28;5.609;69800
2025-08-29;5.622;136771
2025-09-01;5.748;345714
2025-09-02;5.621;135241
2025-09-03;5.683;83877
2025-09-04;5.613;174676
2025-09-05;5.627;112719
2025-09-08;5.68;78173
2025-09-09;5.676;234300
2025-09-10;5.761;89469
2025-09-11;5.912;87540
2025-09-12;5.979;128828
2025-09-15;6.071;193680
2025-09-16;5.975;295281
2025-09-17;5.897;122654
2025-09-18;5.935;148794
2025-09-19;5.965;241614
2025-09-22;6.068;175723
2025-09-23;5.986;226765
2025-09-24;6.142;187264
2025-09-25;6.144;144023
2025-09-26;6.191;203490
2025-09-29;6.249;339891
2025-09-30;6.326;214165
2025-10-01;6.299;289263
2025-10-02;6.362;286139
2025-10-03;6.361;241296
2025-10-06;6.247;517534
2025-10-07;6.25;255161
2025-10-08;6.338;368715
2025-10-09;6.256;175722
2025-10-10;6.133;247164
2025-10-13;6.079;285713
2025-10-14;6.06;467696
2025-10-15;5.901;260044
2025-10-16;5.944;347874
2025-10-17;5.719;397648
2025-10-20;5.898;164961
2025-10-21;5.982;222292
2025-10-22;5.969;238254
2025-10-23;5.992;236397
2025-10-24;5.997;169875
2025-10-27;5.959;161445
2025-10-28;5.983;148842
2025-10-29;5.94;151454
2025-10-30;5.931;109316
2025-10-31;5.959;92132
2025-11-03;6.005;373031
2025-11-04;5.94;174353
2025-11-05;5.881;156937
2025-11-06;5.799;177197
2025-11-07;5.837;108412
2025-11-10;5.946;175488
2025-11-11;5.843;60246
2025-11-12;5.865;161324
2025-11-13;5.877;160555
2025-11-14;5.811;197897
2025-11-17;5.827;276255
2025-11-18;5.718;301799
2025-11-19;5.568;405779
2025-11-20;5.639;133337
2025-11-21;5.434;380729
2025-11-24;5.281;194708
2025-11-25;5.334;263496
2025-11-26;5.397;178844
2025-11-27;5.436;183565
2025-11-28;5.426;132704
2025-12-01;5.262;219122
