date;close;volume
2025-01-02;8.9504;67511
2025-01-03;8.9467;15403
2025-01-06;9.162;40857
2025-01-07;9.1733;41667
2025-01-08;9.2163;14976
2025-01-09;9.27;11877
2025-01-10;9.259;21849
2025-01-13;9.2961;17490
2025-01-14;9.462;39789
2025-01-15;9.5815;60487
2025-01-16;9.563;36944
2025-01-17;9.6126;57041
2025-01-20;9.762;54895
2025-01-21;9.7459;38756
2025-01-22;9.639;32642
2025-01-23;9.8331;53602
2025-01-24;9.873;33576
2025-01-27;9.8832;83851
2025-01-28;9.9324;31416
2025-01-29;10.0229;55956
2025-01-30;10.0448;42459
2025-01-31;9.98;33461
2025-02-03;9.798;54847
2025-02-04;9.9756;63992
2025-02-05;10.0535;42089
2025-02-06;10.395;31034
2025-02-07;10.4232;46135
2025-02-10;10.3915;40170
2025-02-11;10.54;99995
2025-02-12;10.6821;47786
2025-02-13;10.6118;65807
2025-02-14;10.6814;45159
2025-02-17;10.7943;71274
2025-02-18;10.984;100091
2025-02-19;10.8239;91596
2025-02-20;10.8282;44521
2025-02-21;10.9;38119
2025-02-24;10.9384;43863
2025-02-25;11.13;60093
2025-02-26;11.4201;146048
2025-02-27;11.3866;63495
2025-02-28;11.35;38416
2025-03-03;11.5617;89689
2025-03-04;11.0808;95510
2025-03-05;11.653;172609
2025-03-06;11.9409;144277
2025-03-07;11.8992;152283
2025-03-10;11.5677;126889
2025-03-11;11.3621;82873
2025-03-12;11.5651;87497
2025-03-13;11.4935;49529
2025-03-14;11.7614;101326
2025-03-17;11.9042;115231
2025-03-18;12.2053;126100
2025-03-19;12.19;116420
2025-03-20;11.98;93763
2025-03-21;11.955;36283
2025-03-24;11.9912;55912
2025-03-25;12.22;39412
2025-03-26;12.142;83762
2025-03-27;12.0509;38581
2025-03-28;11.79;43269
2025-03-31;11.574;70390
2025-04-01;11.763;56521
2025-04-02;11.71;37977
2025-04-03;11.1555;122373
2025-04-04;10.15;242116
2025-04-07;9.8627;614945
2025-04-08;10.1239;133594
2025-04-09;9.8847;70312
2025-04-10;10.4501;142204
2025-04-11;10.3806;45450
2025-04-14;10.6825;42109
2025-04-15;11.0299;130993
2025-04-16;11.08;84238
2025-04-17;10.963;55698
2025-04-22;11.0668;64814
2025-04-23;11.4544;89208
2025-04-24;11.37;80066
2025-04-25;11.562;65410
2025-04-28;11.7222;75304
2025-04-29;11.7446;75292
2025-04-30;11.5986;57812
2025-05-02;11.88;51595
2025-05-05;11.9533;60837
2025-05-06;11.9395;93201
2025-05-07;11.9301;30769
2025-05-08;12.1161;60324
2025-05-09;12.2076;50103
2025-05-12;12.53;85163
2025-05-13;12.5142;30506
2025-05-14;12.6724;86077
2025-05-15;12.6658;53085
2025-05-16;12.688;31078
2025-05-19;12.86;61855
2025-05-20;12.9912;79849
2025-05-21;13.0188;92190
2025-05-22;12.9786;42889
2025-05-23;12.691;122057
2025-05-26;12.83;102245
2025-05-27;12.9214;31018
2025-05-28;12.8226;22708
2025-05-29;12.8645;28170
2025-05-30;12.8638;22734
2025-06-02;12.8777;57887
2025-06-03;12.8803;71697
2025-06-04;12.805;47643
2025-06-05;12.9468;64275
2025-06-06;13.0497;64738
2025-06-09;13.029;62872
2025-06-10;12.8091;45218
2025-06-11;12.8276;61766
2025-06-12;12.8204;26130
2025-06-13;12.6352;33060
2025-06-16;12.9294;144801
2025-06-17;12.6486;33730
2025-06-18;12.7466;26711
2025-06-19;12.48;46839
2025-06-20;12.602;36083
2025-06-23;12.45;39151
2025-06-24;12.7951;24553
2025-06-25;12.6457;27495
2025-06-26;12.6507;23969
2025-06-27;12.8473;40269
2025-06-30;12.8099;17116
2025-07-01;12.712;19317
2025-07-02;12.8363;40019
2025-07-03;12.9905;32823
2025-07-04;12.8217;37280
2025-07-07;13.01;56111
2025-07-08;13.1333;46772
2025-07-09;13.4836;49468
2025-07-10;13.2955;68319
2025-07-11;13.0276;37146
2025-07-14;13.0659;20595
2025-07-15;12.943;42044
2025-07-16;12.9221;46033
2025-07-17;13.0072;37279
2025-07-18;13.0489;26789
2025-07-21;13.058;86392
2025-07-22;12.9996;33661
2025-07-23;13.2331;41444
2025-07-24;13.5649;56182
2025-07-25;13.5394;27977
2025-07-28;13.5122;58200
2025-07-29;13.725;44236
2025-07-30;13.898;56695
2025-07-31;14.0063;72320
2025-08-01;13.5581;88039
2025-08-04;13.9123;51448
