date;close;volume
2025-08-18;105.975;1959
2025-08-19;105.722;2173
2025-08-20;104.324;3568
2025-08-21;104.626;1657
2025-08-22;105.699;1031
2025-08-25;105.745;2580
2025-08-26;105.524;1654
2025-08-27;106.602;3232
2025-08-28;107.238;859
2025-08-29;106.032;2135
2025-09-01;106.356;1233
2025-09-02;104.48;2954
2025-09-03;105.849;2161
2025-09-04;106.637;893
2025-09-05;106.769;2802
2025-09-08;108.386;3212
2025-09-09;108.188;6210
2025-09-10;110.136;2842
2025-09-11;110.036;2538
2025-09-12;108.979;2622
2025-09-15;109.321;2870
2025-09-16;108.325;2624
2025-09-17;108.022;1451
2025-09-18;110.283;4950
2025-09-19;110.597;3044
2025-09-22;111.606;2505
2025-09-23;111.72;2341
2025-09-24;110.61;2784
2025-09-25;109.988;1631
2025-09-26;109.846;4029
2025-09-29;110.207;2253
2025-09-30;109.66;2883
2025-10-01;110.289;3957
2025-10-02;111.413;3587
2025-10-03;112.036;2034
2025-10-06;113.879;20004
2025-10-07;112.516;3427
2025-10-08;115.27;7299
2025-10-09;116.044;4650
2025-10-10;112.879;5464
2025-10-13;114.407;22615
2025-10-14;112.866;6996
2025-10-15;114.317;2818
2025-10-16;113.982;1862
2025-10-17;112.054;4263
2025-10-20;114.706;2496
2025-10-21;115.332;6029
2025-10-22;114.66;3686
2025-10-23;115.807;4227
2025-10-24;117.595;3094
2025-10-27;118.455;3694
2025-10-28;118.957;2748
2025-10-29;118.798;3303
2025-10-30;119.609;5621
2025-10-31;119.429;3039
2025-11-03;119.69;4447
2025-11-04;118.289;4605
2025-11-05;117.512;8300
2025-11-06;114.981;4988
2025-11-07;112.905;7201
2025-11-10;116.172;5161
2025-11-11;115.917;3311
2025-11-12;116.726;2467
2025-11-13;114.484;2158
2025-11-14;114.288;9905
2025-11-17;113.399;2630
2025-11-18;111.229;8197
2025-11-19;112.125;5950
2025-11-20;112.244;4649
2025-11-21;108.907;4247
2025-11-24;112.199;2731
2025-11-25;112.077;1683
2025-11-26;113.138;2490
2025-11-27;113.151;1378
2025-11-28;113.765;1948
2025-12-01;113.356;3831
2025-12-02;113.368;4710
2025-12-03;113.531;8217
2025-12-04;114.575;3161
2025-12-05;115.789;2861
2025-12-08;116.262;1806
2025-12-09;116.563;3068
2025-12-10;116.237;11132
2025-12-11;114.357;5555
2025-12-12;112.501;5411
2025-12-15;111.92;4142
2025-12-16;110.93;3246
2025-12-17;109.709;2426
2025-12-18;111.124;3623
2025-12-19;112.281;7870
2025-12-22;113.148;2996
2025-12-23;112.798;3765
2025-12-24;113;742
2025-12-29;112.878;3999
2025-12-30;113.253;5969
2025-12-31;112.713;1168
2026-01-02;111.836;3517
2026-01-05;113.412;4911
2026-01-06;113.47;7518
2026-01-07;114.761;9493
2026-01-08;113.025;2057
2026-01-09;114.148;2228
2026-01-12;114.333;7563
2026-01-13;115.135;5436
2026-01-14;112.967;3896
2026-01-15;114.992;11585
2026-01-16;113.957;6996
2026-01-19;111.61;9601
2026-01-20;110.896;12683
2026-01-21;111;12826
2026-01-22;111.934;3004
2026-01-23;111.915;2279
2026-01-26;112.252;3442
2026-01-27;112.091;2131
2026-01-28;112.531;3076
2026-01-29;108.69;6024
2026-01-30;109.923;15350
2026-02-02;111.346;2281
2026-02-03;108.632;2519
2026-02-04;106.966;4465
2026-02-05;106.433;15400
2026-02-06;107.319;2892
2026-02-09;109.074;3841
2026-02-10;110.024;3852
2026-02-11;108.776;4670
2026-02-12;106.973;1600
2026-02-13;108.102;20453
2026-02-16;107.711;8152
2026-02-17;107.457;5912
2026-02-18;109.018;2450
2026-02-19;108.634;4583
2026-02-20;109.455;7281
2026-02-23;105.857;2952
2026-02-24;106.944;7966
2026-02-25;108.287;23637
2026-02-26;108.024;13557
2026-02-27;107.127;5375
2026-03-02;107.579;11368
2026-03-03;107.119;13864
2026-03-04;108.565;21333
2026-03-05;109.428;10521
2026-03-06;108.597;4308
2026-03-09;108.071;7651
2026-03-10;109.718;10175
2026-03-11;109.4;3510
2026-03-12;108.975;6743
2026-03-13;108.243;1506
2026-03-16;108.628;9627
2026-03-17;108.998;3556
2026-03-18;109.22;2273
2026-03-19;107.866;4562
2026-03-20;106.333;1542
2026-03-23;106.615;4799
2026-03-24;105.871;6288
2026-03-25;106.728;4871
2026-03-26;105.224;3525
2026-03-27;102.34;6598
2026-03-30;102.495;1291
2026-03-31;102.282;16201
2026-04-01;105.748;5268
2026-04-02;106.052;5290
2026-04-07;105.736;2782
2026-04-08;110.249;3764
2026-04-09;108.389;983
2026-04-10;108.222;3886
2026-04-13;109.494;1218
2026-04-14;111.101;2411
2026-04-15;112.437;2562
2026-04-16;114.857;3277
2026-04-17;116.786;3630
2026-04-20;116.678;6703
2026-04-21;118.488;5121
2026-04-22;119.8;2304
2026-04-23;119.827;20265
2026-04-24;120.377;4871
2026-04-27;120.455;3747
2026-04-28;118.261;9337
2026-04-29;119.03;5305
2026-04-30;120.651;2535
2026-05-04;123.187;3552
2026-05-05;125.583;7930
