date;close;volume
2025-01-02;23.602;27164
2025-01-03;23.693;17186
2025-01-06;23.649;26963
2025-01-07;23.556;15133
2025-01-08;23.403;16660
2025-01-09;23.323;18610
2025-01-10;23.211;16426
2025-01-13;23.044;34398
2025-01-14;23.125;10348
2025-01-15;23.494;7606
2025-01-16;23.396;23141
2025-01-17;23.722;17170
2025-01-20;23.806;17256
2025-01-21;23.54;21160
2025-01-22;23.682;21722
2025-01-23;23.476;59240
2025-01-24;23.688;11921
2025-01-27;23.324;20205
2025-01-28;23.57;14716
2025-01-29;23.8;17744
2025-01-30;24.011;12049
2025-01-31;24.307;21933
2025-02-03;24.173;29364
2025-02-04;24.5;15302
2025-02-05;24.226;23266
2025-02-06;24.314;11389
2025-02-07;24.583;29719
2025-02-10;24.9;21488
2025-02-11;24.848;13406
2025-02-12;24.759;21633
2025-02-13;24.719;12212
2025-02-14;24.802;21038
2025-02-17;25.16;17368
2025-02-18;25.315;15555
2025-02-19;25.307;12603
2025-02-20;25.267;17791
2025-02-21;25.748;25268
2025-02-24;24.9;37911
2025-02-25;24.995;16275
2025-02-26;25.4;14149
2025-02-27;25.384;17027
2025-02-28;24.644;22600
2025-03-03;24.688;27658
2025-03-04;24.271;21399
2025-03-05;24.385;17925
2025-03-06;24.492;20544
2025-03-07;24.329;11905
2025-03-10;24.02;22153
2025-03-11;23.859;26069
2025-03-12;23.86;14842
2025-03-13;23.993;11466
2025-03-14;24.424;13205
2025-03-17;24.498;19265
2025-03-18;24.649;10453
2025-03-19;24.65;24262
2025-03-20;24.427;14629
2025-03-21;24.506;20966
2025-03-24;24.622;32641
2025-03-25;24.599;21750
2025-03-26;24.55;17662
2025-03-27;24.728;13966
2025-03-28;24.193;13611
2025-03-31;24.1;30433
2025-04-01;24.27;8780
2025-04-02;24.152;12099
2025-04-03;23.219;40457
2025-04-04;22.135;45226
2025-04-07;21.797;65645
2025-04-08;21.662;34595
2025-04-09;20.943;29801
2025-04-10;21.7;27002
2025-04-11;21.75;25194
2025-04-14;22.232;22598
2025-04-15;22.5;17692
2025-04-16;22.197;21873
2025-04-17;22.22;29080
2025-04-22;22.263;21590
2025-04-23;22.995;33721
2025-04-24;23.006;10295
2025-04-25;22.926;17025
2025-04-28;22.956;18348
2025-04-29;22.985;13860
2025-04-30;23.221;43491
2025-05-02;23.852;28443
2025-05-05;24;20132
2025-05-06;24.085;22832
2025-05-07;23.687;39187
2025-05-08;23.832;9806
2025-05-09;23.995;17977
2025-05-12;24.672;29132
2025-05-13;24.55;14412
2025-05-14;24.794;8912
2025-05-15;24.831;19754
2025-05-16;24.799;11380
2025-05-19;24.527;20946
2025-05-20;24.502;14079
2025-05-21;24.48;29885
2025-05-22;24.504;10134
2025-05-23;24.501;19191
2025-05-26;24.425;12595
2025-05-27;24.25;27795
2025-05-28;24.425;12954
2025-05-29;24.414;9496
2025-05-30;24.011;11760
2025-06-02;24.08;26296
2025-06-03;24.314;13405
2025-06-04;24.51;19085
2025-06-05;24.527;17235
2025-06-06;24.618;18779
2025-06-09;24.9;11145
2025-06-10;24.963;12453
2025-06-11;25.182;23026
2025-06-12;24.729;19567
2025-06-13;24.49;17618
2025-06-16;24.85;11889
2025-06-17;24.62;19825
2025-06-18;24.486;9168
2025-06-19;24.178;16520
2025-06-20;24.306;18829
2025-06-23;24.456;9903
2025-06-24;24.94;7964
2025-06-25;24.934;12986
2025-06-26;25.073;33506
2025-06-27;25.002;14778
2025-06-30;24.882;16276
2025-07-01;24.994;113442
2025-07-02;24.95;18294
2025-07-03;25.238;23244
2025-07-04;24.99;22602
2025-07-07;25.092;21966
2025-07-08;25.131;11131
2025-07-09;24.945;14466
2025-07-10;25.21;13439
2025-07-11;25.142;33054
2025-07-14;25.215;14619
2025-07-15;25.536;13963
2025-07-16;25.372;13374
2025-07-17;25.744;13379
2025-07-18;25.742;16372
2025-07-21;25.81;63774
2025-07-22;25.649;26249
2025-07-23;25.754;21513
2025-07-24;25.734;32008
2025-07-25;25.615;49228
2025-07-28;25.866;42557
2025-07-29;26.01;38323
2025-07-30;26.047;38886
2025-07-31;25.912;24937
2025-08-01;25.305;60922
2025-08-04;25.484;73230
2025-08-05;25.713;25532
2025-08-06;25.668;25727
2025-08-07;25.806;16029
2025-08-08;25.85;14138
2025-08-11;25.91;21766
2025-08-12;25.969;14318
2025-08-13;26.265;17096
2025-08-14;26.025;16799
2025-08-15;25.92;25299
2025-08-18;26.114;22615
2025-08-19;26.092;20867
2025-08-20;25.927;27725
2025-08-21;26.1;14673
2025-08-22;26.177;27523
2025-08-25;26.22;102839
2025-08-26;26.23;16047
2025-08-27;26;21503
2025-08-28;26.004;23493
2025-08-29;25.7;23153
2025-09-01;25.9;49527
2025-09-02;25.886;33004
2025-09-03;26.008;29935
2025-09-04;25.84;24096
2025-09-05;26.111;25182
2025-09-08;26.139;63488
2025-09-09;26.555;22865
2025-09-10;26.784;31679
2025-09-11;27.045;24376
2025-09-12;27.1;32889
2025-09-15;27.17;36241
2025-09-16;27.076;22942
