date;close;volume
2025-01-02;30.115;7664
2025-01-03;29.94;11453
2025-01-06;30.315;17763
2025-01-07;30.355;5399
2025-01-08;30.285;17414
2025-01-09;30.435;7383
2025-01-10;30.225;7487
2025-01-13;30.07;9468
2025-01-14;30;4895
2025-01-15;30.455;3724
2025-01-16;30.69;2844
2025-01-17;30.935;5870
2025-01-20;30.96;8263
2025-01-21;31.045;9928
2025-01-22;31.14;4679
2025-01-23;31.275;81229
2025-01-24;31.27;17566
2025-01-27;31.28;23850
2025-01-28;31.39;4797
2025-01-29;31.545;10870
2025-01-30;31.815;6790
2025-01-31;31.845;11713
2025-02-03;31.575;15175
2025-02-04;31.665;18373
2025-02-05;31.83;5968
2025-02-06;32.21;5294
2025-02-07;32.095;5527
2025-02-10;32.275;12396
2025-02-11;32.35;13660
2025-02-12;32.37;8900
2025-02-13;32.765;16150
2025-02-14;32.685;10679
2025-02-17;32.865;12903
2025-02-18;32.965;12939
2025-02-19;32.675;10064
2025-02-20;32.61;5035
2025-02-21;32.765;5739
2025-02-24;32.775;20292
2025-02-25;32.81;13778
2025-02-26;33.145;8543
2025-02-27;33.02;9180
2025-02-28;32.995;9226
2025-03-03;33.38;20843
2025-03-04;32.66;23521
2025-03-05;32.91;17279
2025-03-06;32.915;19727
2025-03-07;32.745;14780
2025-03-10;32.33;14508
2025-03-11;31.76;18673
2025-03-12;32.04;18841
2025-03-13;32.015;8690
2025-03-14;32.37;11118
2025-03-17;32.625;16280
2025-03-18;32.815;9311
2025-03-19;32.88;16073
2025-03-20;32.75;4953
2025-03-21;32.58;5019
2025-03-24;32.525;18234
2025-03-25;32.74;6203
2025-03-26;32.525;6448
2025-03-27;32.41;7671
2025-03-28;32.17;9186
2025-03-31;31.705;13371
2025-04-01;32.04;7057
2025-04-02;31.88;7106
2025-04-03;31.055;13358
2025-04-04;29.46;34040
2025-04-07;28.48;54462
2025-04-08;28.95;26792
2025-04-09;27.895;17355
2025-04-10;28.95;40256
2025-04-11;28.955;13378
2025-04-14;29.725;12632
2025-04-15;30.21;20627
2025-04-16;30.135;13127
2025-04-17;30.065;22542
2025-04-22;30.225;10227
2025-04-23;30.73;21045
2025-04-24;30.91;7915
2025-04-25;31.02;21254
2025-04-28;31.17;11576
2025-04-29;31.28;17425
2025-04-30;31.445;17050
2025-05-02;32.035;16608
2025-05-05;32.145;21720
2025-05-06;32.03;23571
2025-05-07;31.88;13307
2025-05-08;32.015;3643
2025-05-09;32.155;9721
2025-05-12;32.57;42108
2025-05-13;32.58;16286
2025-05-14;32.455;10662
2025-05-15;32.695;8455
2025-05-16;32.89;12756
2025-05-19;32.975;11693
2025-05-20;33.245;8389
2025-05-21;33.255;12449
2025-05-22;33.005;9804
2025-05-23;32.705;19649
2025-05-26;33.125;11623
2025-05-27;33.16;15137
2025-05-28;32.94;12068
2025-05-29;32.88;10764
2025-05-30;32.97;10107
2025-06-02;32.895;12750
2025-06-03;32.96;22064
2025-06-04;33.14;14058
2025-06-05;33.2;8912
2025-06-06;33.31;8174
2025-06-09;33.255;11933
2025-06-10;33.225;6393
2025-06-11;33.155;16530
2025-06-12;33.035;10314
2025-06-13;32.765;8094
2025-06-16;32.89;6689
2025-06-17;32.6;10044
2025-06-18;32.475;4418
2025-06-19;32.24;9107
2025-06-20;32.285;4524
2025-06-23;32.18;7409
2025-06-24;32.535;8116
2025-06-25;32.28;8092
2025-06-26;32.3;5261
2025-06-27;32.685;10786
2025-06-30;32.525;9597
2025-07-01;32.465;10803
2025-07-02;32.535;13524
2025-07-03;32.665;8463
2025-07-04;32.515;16879
2025-07-07;32.66;10383
2025-07-08;32.78;9474
2025-07-09;33.01;11416
2025-07-10;33.22;9893
2025-07-11;32.88;7105
2025-07-14;32.86;6033
2025-07-15;32.74;13793
2025-07-16;32.525;11696
2025-07-17;32.865;5504
2025-07-18;32.83;9997
2025-07-21;32.82;11303
2025-07-22;32.69;7635
2025-07-23;33.035;29570
2025-07-24;33.095;15201
2025-07-25;33.02;7105
2025-07-28;32.98;10894
2025-07-29;33.025;10462
2025-07-30;33.025;9551
2025-07-31;32.765;10765
2025-08-01;32.01;21484
2025-08-04;32.455;27832
2025-08-05;32.49;16555
2025-08-06;32.45;21107
2025-08-07;32.775;4260
2025-08-08;32.84;7947
2025-08-11;32.825;15379
2025-08-12;32.905;6430
2025-08-13;33.09;8620
2025-08-14;33.28;15572
2025-08-15;33.305;9466
2025-08-18;33.32;12618
2025-08-19;33.615;8640
2025-08-20;33.65;5030
2025-08-21;33.625;6344
2025-08-22;33.78;5263
2025-08-25;33.605;14202
2025-08-26;33.345;44169
2025-08-27;33.39;33734
2025-08-28;33.33;3647
2025-08-29;33.13;6669
2025-09-01;33.22;10765
2025-09-02;32.73;14850
2025-09-03;32.96;5291
2025-09-04;33.16;4715
2025-09-05;33.11;4668
2025-09-08;33.275;6797
2025-09-09;33.295;5207
2025-09-10;33.255;5655
2025-09-11;33.455;7840
2025-09-12;33.435;6268
2025-09-15;33.55;16688
2025-09-16;33.155;10381
2025-09-17;33.16;5916
2025-09-18;33.435;5119
2025-09-19;33.42;6370
2025-09-22;33.375;9035
2025-09-23;33.45;6181
2025-09-24;33.39;7410
2025-09-25;33.19;14882
2025-09-26;33.465;6116
2025-09-29;33.52;12578
2025-09-30;33.655;9407
2025-10-01;34.065;8675
2025-10-02;34.28;14676
2025-10-03;34.415;9148
2025-10-06;34.415;15669
2025-10-07;34.37;11224
2025-10-08;34.61;8901
2025-10-09;34.45;7148
2025-10-10;34.03;10634
2025-10-13;34.18;23981
2025-10-14;34.065;19891
2025-10-15;34.27;7768
2025-10-16;34.525;15107
2025-10-17;34.22;11269
2025-10-20;34.54;30780
2025-10-21;34.615;10662
2025-10-22;34.54;5283
2025-10-23;34.655;9379
2025-10-24;34.725;6458
2025-10-27;34.815;13932
2025-10-28;34.745;7296
2025-10-29;34.705;9752
2025-10-30;34.71;10914
2025-10-31;34.535;9916
2025-11-03;34.545;15134
2025-11-04;34.44;27841
2025-11-05;34.545;12635
2025-11-06;34.31;12813
2025-11-07;34.125;7676
2025-11-10;34.59;17561
2025-11-11;35.055;14205
2025-11-12;35.31;13912
2025-11-13;35.115;7609
2025-11-14;34.745;13255
2025-11-17;34.555;24399
2025-11-18;33.975;58417
2025-11-19;33.95;13686
2025-11-20;34.075;29443
2025-11-21;34;14501
2025-11-24;34.085;14199
2025-11-25;34.33;12534
2025-11-26;34.675;6939
2025-11-27;34.735;5085
2025-11-28;34.815;9794
2025-12-01;34.755;13785
2025-12-02;34.78;13899
2025-12-03;34.825;11953
2025-12-04;34.98;9301
2025-12-05;34.97;13406
2025-12-08;34.96;11231
2025-12-09;34.95;10033
2025-12-10;34.95;5395
2025-12-11;35.13;9078
2025-12-12;34.975;25238
2025-12-15;35.185;14590
2025-12-16;35.025;8519
2025-12-17;35.015;6255
2025-12-18;35.325;8267
2025-12-19;35.5;20582
2025-12-22;35.385;15945
