date;close;volume
2025-01-02;46.989;108173
2025-01-03;47.01;65937
2025-01-06;47.355;68320
2025-01-07;46.854;73975
2025-01-08;46.894;65911
2025-01-09;46.983;57798
2025-01-10;46.424;44498
2025-01-13;46.318;69788
2025-01-14;46.264;47829
2025-01-15;47.023;41574
2025-01-16;47.053;68603
2025-01-17;47.536;33483
2025-01-20;47.166;96547
2025-01-21;47.037;90638
2025-01-22;47.475;96506
2025-01-23;47.563;65381
2025-01-24;47.248;31058
2025-01-27;46.263;266210
2025-01-28;47.023;159031
2025-01-29;47.223;112366
2025-01-30;46.954;161822
2025-01-31;47.551;120077
2025-02-03;47.058;125343
2025-02-04;46.935;164455
2025-02-05;46.641;78108
2025-02-06;47.203;50871
2025-02-07;47.168;30976
2025-02-10;47.364;29053
2025-02-11;47.277;32631
2025-02-12;46.865;68762
2025-02-13;47.168;47802
2025-02-14;47.06;58813
2025-02-17;47.252;45587
2025-02-18;47.361;50712
2025-02-19;47.665;29430
2025-02-20;47.226;23711
2025-02-21;47.253;23771
2025-02-24;46.702;43131
2025-02-25;45.934;26583
2025-02-26;46.231;29392
2025-02-27;46.374;26226
2025-02-28;45.814;38261
2025-03-03;45.855;34202
2025-03-04;44.36;88604
2025-03-05;43.287;66543
2025-03-06;43.544;51695
2025-03-07;42.72;49843
2025-03-10;42.338;54809
2025-03-11;41.167;126160
2025-03-12;41.567;151255
2025-03-13;41.245;41199
2025-03-14;41.705;189033
2025-03-17;41.731;46543
2025-03-18;41.547;25195
2025-03-19;41.936;32165
2025-03-20;42.217;36000
2025-03-21;42.14;25045
2025-03-24;43.096;58390
2025-03-25;43.053;21590
2025-03-26;42.917;36907
2025-03-27;42.794;33218
2025-03-28;41.811;23432
2025-03-31;41.623;41098
2025-04-01;42.258;25044
2025-04-02;42.224;30970
2025-04-03;40.028;58775
2025-04-04;38.277;102703
2025-04-07;37.545;156339
2025-04-08;38.322;101878
2025-04-09;36.373;56850
2025-04-10;37.919;71452
2025-04-11;37.55;61521
2025-04-14;38.688;23793
2025-04-15;38.972;26439
2025-04-16;38.162;27476
2025-04-17;37.601;57204
2025-04-22;37.147;49070
2025-04-23;38.377;23245
2025-04-24;38.632;15082
2025-04-25;38.846;20956
2025-04-28;38.867;38182
2025-04-29;39.048;15613
2025-04-30;39.167;21654
2025-05-02;40.313;67462
2025-05-05;40.37;43105
2025-05-06;40.113;54318
2025-05-07;39.784;19225
2025-05-08;40.587;15656
2025-05-09;40.424;19484
2025-05-12;42.001;21068
2025-05-13;42.335;24178
2025-05-14;42.272;20785
2025-05-15;42.402;16076
2025-05-16;42.685;28518
2025-05-19;42.411;19327
2025-05-20;42.422;17769
2025-05-21;42.011;9501
2025-05-22;41.637;18648
2025-05-23;40.99;43865
2025-05-26;41.349;12403
2025-05-27;41.703;10434
2025-05-28;41.91;27398
2025-05-29;41.699;17693
2025-05-30;41.598;8056
2025-06-02;41.342;21372
2025-06-03;42;13238
2025-06-04;42.055;9764
2025-06-05;42.109;14090
2025-06-06;42.37;13823
2025-06-09;42.424;8704
2025-06-10;42.467;9766
2025-06-11;42.396;12750
2025-06-12;41.903;19623
2025-06-13;41.754;11373
2025-06-16;41.898;9818
2025-06-17;41.904;11721
2025-06-18;41.846;19741
2025-06-19;41.543;12400
2025-06-20;41.698;9749
2025-06-23;41.563;17389
2025-06-24;41.991;16505
2025-06-25;42.171;6556
2025-06-26;42.13;8205
2025-06-27;42.446;15812
2025-06-30;42.36;12849
2025-07-01;42.467;16268
2025-07-02;42.574;18029
2025-07-03;43.043;13503
2025-07-04;42.737;8530
2025-07-07;42.874;22745
2025-07-08;42.903;14689
2025-07-09;43.05;16557
2025-07-10;43.43;15842
2025-07-11;43.209;16824
2025-07-14;43.194;10543
2025-07-15;43.621;17521
2025-07-16;42.895;22694
2025-07-17;43.728;13661
2025-07-18;43.526;20934
2025-07-21;43.581;18808
2025-07-22;43.301;11719
2025-07-23;43.516;14017
2025-07-24;43.812;19147
2025-07-25;43.963;13875
2025-07-28;44.446;22074
2025-07-29;44.663;16581
2025-07-30;44.849;9765
2025-07-31;45.194;19327
2025-08-01;43.758;23318
2025-08-04;44.314;20901
2025-08-05;44.152;29451
2025-08-06;44.133;11260
2025-08-07;44.117;13050
2025-08-08;44.318;12076
2025-08-11;44.644;9536
2025-08-12;44.694;12784
2025-08-13;44.734;8882
2025-08-14;44.96;7199
2025-08-15;44.713;9885
2025-08-18;44.821;11622
2025-08-19;44.783;11122
2025-08-20;44.473;13077
2025-08-21;44.649;22720
2025-08-22;44.878;8638
2025-08-25;44.934;17281
2025-08-26;44.838;21617
2025-08-27;45.269;17593
2025-08-28;45.05;14200
2025-08-29;44.78;18194
2025-09-01;44.886;13218
2025-09-02;44.336;16325
2025-09-03;44.809;10001
2025-09-04;45.167;11325
2025-09-05;44.624;28333
2025-09-08;44.823;9910
2025-09-09;44.876;27908
2025-09-10;44.936;21805
2025-09-11;45.291;5280
2025-09-12;45.484;7805
2025-09-15;45.435;13106
2025-09-16;45.068;12347
2025-09-17;45.052;14030
2025-09-18;45.657;17972
2025-09-19;45.784;13581
2025-09-22;45.945;23325
2025-09-23;46.04;8044
2025-09-24;45.937;9505
2025-09-25;45.982;15227
2025-09-26;45.963;8095
2025-09-29;46.085;19352
2025-09-30;46.069;25145
2025-10-01;46.325;29728
2025-10-02;46.531;31694
2025-10-03;46.718;22913
2025-10-06;46.845;22866
2025-10-07;46.862;24582
2025-10-08;47.278;14651
2025-10-09;47.342;13617
2025-10-10;46.417;24279
2025-10-13;46.696;31778
2025-10-14;46.447;20726
2025-10-15;46.755;32205
2025-10-16;46.598;14234
2025-10-17;46.22;17823
2025-10-20;47.138;21236
2025-10-21;47.365;16563
2025-10-22;47.19;8851
2025-10-23;47.321;8155
2025-10-24;47.716;37084
2025-10-27;48.147;16295
2025-10-28;48.293;17692
2025-10-29;48.523;14529
2025-10-30;48.749;13623
2025-10-31;48.456;29841
2025-11-03;48.45;15834
2025-11-04;48.309;23072
2025-11-05;48.47;19839
2025-11-06;47.695;12935
2025-11-07;46.983;27482
2025-11-10;47.945;15160
2025-11-11;48.12;11008
2025-11-12;48.34;13938
2025-11-13;47.852;15483
2025-11-14;47.793;15805
2025-11-17;47.632;20826
2025-11-18;47.083;16716
2025-11-19;47.311;21643
2025-11-20;47.687;22620
2025-11-21;47.228;24594
2025-11-24;47.853;8807
2025-11-25;47.896;10433
2025-11-26;48.376;11256
2025-11-27;48.31;8229
2025-11-28;48.388;8756
2025-12-01;48.256;14973
2025-12-02;48.354;9383
2025-12-03;48.352;7280
2025-12-04;48.273;5949
2025-12-05;48.488;10747
2025-12-08;48.402;10066
2025-12-09;48.443;12334
2025-12-10;48.24;23700
2025-12-11;48.025;10312
2025-12-12;47.888;13020
2025-12-15;47.841;17427
2025-12-16;47.497;13135
2025-12-17;47.29;15315
2025-12-18;47.854;10527
2025-12-19;48.058;13075
2025-12-22;48.186;14642
2025-12-23;48.331;11471
2025-12-24;48.326;4571
2025-12-29;48.396;36715
2025-12-30;48.521;14084
2025-12-31;48.45;4696
2026-01-02;48.221;19958
2026-01-05;48.787;24567
2026-01-06;48.942;16416
2026-01-07;49.147;16037
2026-01-08;49.131;13015
2026-01-09;49.357;9810
2026-01-12;49.19;21319
2026-01-13;49.293;10456
2026-01-14;48.954;11649
2026-01-15;49.558;14186
2026-01-16;49.434;16302
2026-01-19;48.6;25162
2026-01-20;48.276;23655
2026-01-21;48.451;18814
2026-01-22;48.774;13307
2026-01-23;48.629;12573
2026-01-26;48.436;15709
2026-01-27;48.372;14363
2026-01-28;48.464;14602
2026-01-29;47.954;19579
2026-01-30;48.346;15746
2026-02-02;49.014;27493
2026-02-03;48.741;8967
2026-02-04;48.653;16870
2026-02-05;48.204;15654
2026-02-06;48.717;12222
2026-02-09;48.752;15355
2026-02-10;48.639;13843
2026-02-11;48.741;27919
2026-02-12;48.194;8684
2026-02-13;47.932;12420
2026-02-16;47.787;11257
2026-02-17;48.007;21586
2026-02-18;48.509;10988
2026-02-19;48.411;20738
2026-02-20;48.567;13866
2026-02-23;48.295;12972
2026-02-24;48.568;11514
2026-02-25;48.909;10067
2026-02-26;48.71;12872
2026-02-27;48.295;11107
2026-03-02;48.665;25848
2026-03-03;48.502;24693
2026-03-04;48.862;23456
2026-03-05;48.594;12617
2026-03-06;47.988;11117
2026-03-09;47.769;27633
2026-03-10;48.344;14987
2026-03-11;48.232;13360
2026-03-12;48.025;8757
2026-03-13;48.008;11161
2026-03-16;48.07;15412
2026-03-17;48.123;8442
2026-03-18;47.813;13801
2026-03-19;47.101;13995
2026-03-20;46.745;22419
