date;close;volume
2025-01-02;29.09;4806
2025-01-03;28.83;6259
2025-01-06;28.833;10125
2025-01-07;28.765;6589
2025-01-08;28.716;6108
2025-01-09;28.477;5133
2025-01-10;28.208;9621
2025-01-13;28.217;7139
2025-01-14;28.009;9380
2025-01-15;28.38;20850
2025-01-16;28.343;7284
2025-01-17;28.47;6790
2025-01-20;28.428;7265
2025-01-21;28.548;10064
2025-01-22;28.552;8125
2025-01-23;28.648;6245
2025-01-24;28.762;6889
2025-01-27;28.541;7994
2025-01-28;28.873;6752
2025-01-29;28.991;4535
2025-01-30;29.32;3925
2025-01-31;29.306;8560
2025-02-03;29.252;8344
2025-02-04;29.112;7243
2025-02-05;29.197;4419
2025-02-06;29.613;8814
2025-02-07;29.47;8410
2025-02-10;29.57;13676
2025-02-11;29.478;19514
2025-02-12;28.892;29406
2025-02-13;29.256;9634
2025-02-14;29.15;6048
2025-02-17;29.535;7582
2025-02-18;29.615;17109
2025-02-19;29.45;15231
2025-02-20;29.323;7193
2025-02-21;29.414;7808
2025-02-24;29.139;8156
2025-02-25;29.203;9683
2025-02-26;29.469;12073
2025-02-27;29.625;11285
2025-02-28;29.157;15565
2025-03-03;29.544;12437
2025-03-04;28.81;11163
2025-03-05;28.711;17204
2025-03-06;28.787;9588
2025-03-07;28.534;15509
2025-03-10;28.298;8913
2025-03-11;27.811;10787
2025-03-12;28.378;7855
2025-03-13;28.45;6079
2025-03-14;28.753;7355
2025-03-17;28.898;7403
2025-03-18;28.816;5893
2025-03-19;29.098;8327
2025-03-20;29.186;5859
2025-03-21;29.295;6768
2025-03-24;29.257;11038
2025-03-25;29.4;7033
2025-03-26;29.2;6699
2025-03-27;29.146;5294
2025-03-28;28.48;7288
2025-03-31;28.25;12778
2025-04-01;28.233;12694
2025-04-02;27.843;6899
2025-04-03;26.576;16968
2025-04-04;25.302;38776
2025-04-07;25.272;29541
2025-04-08;26.121;12930
2025-04-09;25.02;23026
2025-04-10;25.715;18263
2025-04-11;25.593;14057
2025-04-14;26.385;7668
2025-04-15;26.869;17360
2025-04-16;26.703;7066
2025-04-17;26.912;11428
2025-04-22;27.329;9744
2025-04-23;27.61;4962
2025-04-24;27.616;13845
2025-04-25;27.662;14589
2025-04-28;27.958;5739
2025-04-29;28.052;3941
2025-04-30;28.006;4721
2025-05-02;28.241;3973
2025-05-05;28.484;8439
2025-05-06;28.509;4851
2025-05-07;28.36;6864
2025-05-08;28.542;5297
2025-05-09;28.49;5811
2025-05-12;29.188;9355
2025-05-13;28.778;5961
2025-05-14;28.469;3534
2025-05-15;28.787;4725
2025-05-16;28.946;4806
2025-05-19;28.638;6690
2025-05-20;28.849;4191
2025-05-21;28.633;5932
2025-05-22;28.666;3217
2025-05-23;28.672;12253
2025-05-26;28.967;8815
2025-05-27;29.41;4167
2025-05-28;29.054;19380
2025-05-29;28.927;3687
2025-05-30;29.033;2371
2025-06-02;29.166;8732
2025-06-03;29.147;6300
2025-06-04;28.955;5242
2025-06-05;28.737;10358
2025-06-06;28.949;2679
2025-06-09;28.938;2960
2025-06-10;28.861;3262
2025-06-11;28.763;11651
2025-06-12;28.651;8658
2025-06-13;28.556;11829
2025-06-16;28.628;6089
2025-06-17;28.342;7519
2025-06-18;28.735;4210
2025-06-19;28.513;2726
2025-06-20;28.151;13223
2025-06-23;28.034;4150
2025-06-24;28.095;2210
2025-06-25;28.1;1587
2025-06-26;28.416;3953
2025-06-27;28.941;4376
2025-06-30;28.714;4010
2025-07-01;28.562;5864
2025-07-02;28.499;4281
2025-07-03;28.614;3389
2025-07-04;28.44;4064
2025-07-07;28.199;5083
2025-07-08;28.191;3785
2025-07-09;28.132;2859
2025-07-10;28.2;2505
2025-07-11;28.036;7281
2025-07-14;28.068;3038
2025-07-15;27.959;1951
2025-07-16;27.761;3032
2025-07-17;28.254;1454
2025-07-18;27.983;2338
2025-07-21;28.218;4659
2025-07-22;28.186;2424
2025-07-23;29.321;4749
2025-07-24;29.32;6483
2025-07-25;29.004;1890
2025-07-28;28.882;6133
2025-07-29;28.947;2902
2025-07-30;29.232;3327
2025-07-31;29.185;3540
2025-08-01;28.98;8479
2025-08-04;29.441;4582
2025-08-05;29.365;5008
2025-08-06;29.595;4407
2025-08-07;29.851;3741
2025-08-08;30.283;4112
2025-08-11;30.414;2504
2025-08-12;30.641;5070
2025-08-13;30.519;4612
2025-08-14;30.542;4222
2025-08-15;30.875;1917
2025-08-18;31.055;5839
2025-08-19;31.022;10411
2025-08-20;30.862;3815
2025-08-21;30.725;2653
2025-08-22;30.913;2702
2025-08-25;30.733;4295
2025-08-26;30.589;9089
2025-08-27;30.542;3911
2025-08-28;30.825;6204
2025-08-29;30.288;7208
2025-09-01;30.504;4694
2025-09-02;30.229;7500
2025-09-03;30.274;3727
2025-09-04;30.632;3550
2025-09-05;30.6;3290
2025-09-08;31.21;6483
2025-09-09;30.853;4776
2025-09-10;31.099;9348
2025-09-11;31.396;6685
2025-09-12;31.13;7323
2025-09-15;31.206;22861
2025-09-16;31.007;19496
2025-09-17;31.031;16218
2025-09-18;31.263;11722
2025-09-19;31.024;15879
2025-09-22;31.116;14588
2025-09-23;31.128;18404
2025-09-24;31.165;9942
2025-09-25;31.202;11428
2025-09-26;31.108;21208
2025-09-29;31.031;29707
2025-09-30;30.779;17466
2025-10-01;30.825;14186
2025-10-02;30.777;18405
2025-10-03;31.357;9814
2025-10-06;32.042;18181
2025-10-07;31.615;13627
2025-10-08;31.579;14155
2025-10-09;31.591;11312
2025-10-10;30.5;16374
2025-10-13;30.725;15460
2025-10-14;30.894;15914
2025-10-15;31.3;12749
2025-10-16;31.34;8733
2025-10-17;31.407;12208
2025-10-20;32.081;11678
2025-10-21;31.836;11214
2025-10-22;31.68;14101
2025-10-23;31.733;11272
2025-10-24;31.833;9056
2025-10-27;32.101;11110
2025-10-28;32.134;10752
2025-10-29;31.894;9343
2025-10-30;32.152;7909
2025-10-31;32.166;12097
2025-11-03;32.205;14182
2025-11-04;32.303;12493
2025-11-05;32.123;10881
2025-11-06;32;11307
2025-11-07;31.811;11829
2025-11-10;32.156;5047
2025-11-11;32.142;4553
2025-11-12;32.453;9113
2025-11-13;32.044;13028
2025-11-14;32.273;13651
2025-11-17;31.978;13963
2025-11-18;31.131;16725
2025-11-19;31.25;12146
2025-11-20;31.322;8850
2025-11-21;31.439;23219
2025-11-24;31.653;12862
2025-11-25;31.696;8556
2025-11-26;32.067;13378
2025-11-27;32.012;7438
2025-11-28;32.045;6866
2025-12-01;31.869;10000
2025-12-02;31.815;8544
2025-12-03;31.661;7462
2025-12-04;32.077;22413
2025-12-05;32.068;8743
2025-12-08;32.049;11257
2025-12-09;32.122;9265
2025-12-10;32.095;6812
2025-12-11;32.076;7410
2025-12-12;32.015;11804
2025-12-15;32.334;11582
2025-12-16;31.984;10038
2025-12-17;31.622;8471
2025-12-18;31.875;8219
2025-12-19;32.045;8863
2025-12-22;31.834;13025
2025-12-23;32.09;8180
2025-12-24;32.012;4653
2025-12-29;32.039;14502
2025-12-30;32.12;7442
2025-12-31;32.01;4633
2026-01-02;32.21;9851
2026-01-05;32.931;14784
2026-01-06;32.997;10703
2026-01-07;33.056;12338
2026-01-08;33.145;10786
2026-01-09;33.795;14122
2026-01-12;33.905;18737
2026-01-13;33.632;18556
2026-01-14;33.95;18812
2026-01-15;34.245;13996
2026-01-16;34.284;8731
2026-01-19;34.092;14574
2026-01-20;33.466;13865
2026-01-21;33.598;14317
2026-01-22;33.657;16009
2026-01-23;33.3;11486
2026-01-26;33.325;11238
2026-01-27;33.376;8875
2026-01-28;33.058;20624
2026-01-29;33.231;15017
2026-01-30;33.535;13112
2026-02-02;33.716;15388
2026-02-03;33.925;10186
2026-02-04;34.502;10192
2026-02-05;34.188;11874
2026-02-06;35.027;10685
2026-02-09;35.541;20979
2026-02-10;36.284;24815
2026-02-11;36.649;24072
2026-02-12;36.6;20573
2026-02-13;36.635;27037
2026-02-16;35.878;24179
2026-02-17;36.075;12982
2026-02-18;36.244;11675
2026-02-19;36.17;16302
2026-02-20;36.091;14594
2026-02-23;36.18;10921
2026-02-24;36.187;15538
2026-02-25;36.8;10641
2026-02-26;36.562;20749
2026-02-27;36.64;13588
2026-03-02;35.909;19287
2026-03-03;34.336;40512
2026-03-04;35.159;17482
2026-03-05;34.586;14209
2026-03-06;34.007;13484
2026-03-09;33.7;21832
2026-03-10;34.989;27683
2026-03-11;34.63;10684
2026-03-12;34.469;16838
2026-03-13;34.107;9872
2026-03-16;34.34;6966
2026-03-17;34.377;15064
2026-03-18;34.404;6482
2026-03-19;33.689;13119
2026-03-20;33.143;11170
2026-03-23;33.504;35923
2026-03-24;33.767;5206
2026-03-25;34.281;11585
2026-03-26;33.82;6459
2026-03-27;33.217;6662
2026-03-30;33.835;14003
2026-03-31;33.401;11188
2026-04-01;35.059;13926
2026-04-02;34.57;7603
2026-04-07;34.167;10872
2026-04-08;35.82;23810
2026-04-09;35.177;9138
