date;close;volume
2025-01-02;82.57;89371
2025-01-03;82.75;51007
2025-01-06;83.63;108540
2025-01-07;82.52;57524
2025-01-08;82.46;49670
2025-01-09;82.43;57517
2025-01-10;81.41;55970
2025-01-13;81.02;64547
2025-01-14;80.94;41057
2025-01-15;82.49;51455
2025-01-16;82.61;33335
2025-01-17;83.56;55908
2025-01-20;83.13;67281
2025-01-21;82.78;60080
2025-01-22;84.33;73718
2025-01-23;84.02;61494
2025-01-24;83.44;48842
2025-01-27;80.55;187687
2025-01-28;81.89;72765
2025-01-29;82.29;55594
2025-01-30;82.36;58899
2025-01-31;84.04;70704
2025-02-03;82.97;79022
2025-02-04;83.34;47180
2025-02-05;82.82;45906
2025-02-06;83.84;35118
2025-02-07;83.75;38302
2025-02-10;84.61;36911
2025-02-11;84.2;48341
2025-02-12;83.56;87440
2025-02-13;84.23;38433
2025-02-14;84.18;55409
2025-02-17;84.8;36806
2025-02-18;84.72;36369
2025-02-19;85.31;33675
2025-02-20;84.19;43877
2025-02-21;84.17;28481
2025-02-24;82.47;65096
2025-02-25;80.1;76020
2025-02-26;81.35;48370
2025-02-27;81.09;53260
2025-02-28;79.53;77969
2025-03-03;79.6;79495
2025-03-04;76.66;149077
2025-03-05;75.21;84303
2025-03-06;75.48;66996
2025-03-07;73.35;102011
2025-03-10;72.42;116429
2025-03-11;71.15;127584
2025-03-12;72.26;83174
2025-03-13;71.28;40767
2025-03-14;72.3;52849
2025-03-17;72.15;67777
2025-03-18;71.7;48530
2025-03-19;72.57;50594
2025-03-20;72.78;50529
2025-03-21;72.82;71802
2025-03-24;74.87;57560
2025-03-25;75.05;56958
2025-03-26;74.4;40027
2025-03-27;73.89;46512
2025-03-28;71.62;59685
2025-03-31;70.65;88929
2025-04-01;72.03;36967
2025-04-02;72.18;38485
2025-04-03;67.9;111677
2025-04-04;64.9;156800
2025-04-07;65.44;246040
2025-04-08;65.74;142198
2025-04-09;62.45;105203
2025-04-10;65.62;194169
2025-04-11;64.68;57635
2025-04-14;66.48;77453
2025-04-15;66.99;44868
2025-04-16;65.56;31536
2025-04-17;64.39;31443
2025-04-22;63.73;55478
2025-04-23;66.33;74603
2025-04-24;67.27;45404
2025-04-25;67.89;79532
2025-04-28;67.82;51123
2025-04-29;68.31;21820
2025-04-30;68.37;68097
2025-05-02;70.96;57923
2025-05-05;70.8;37300
2025-05-06;70.21;34096
2025-05-07;69.7;22068
2025-05-08;71.58;24102
