date;close;volume
2025-01-02;325.2952;3430
2025-01-03;324.1675;4142
2025-01-06;326.6451;7770
2025-01-07;322.2074;6576
2025-01-08;321.4385;4218
2025-01-09;322.3931;6034
2025-01-10;316.3911;4893
2025-01-13;315.3244;6263
2025-01-14;317.9361;4536
2025-01-15;325.6805;4680
2025-01-16;326.7694;5302
2025-01-17;328.1978;6803
2025-01-20;328.6101;11418
2025-01-21;329.1981;8495
2025-01-22;328.4339;11711
2025-01-23;329.4476;7160
2025-01-24;327.5488;7790
2025-01-27;323.7726;6645
2025-01-28;323.9321;5249
2025-01-29;326.0597;3296
2025-01-30;328.9411;4131
2025-01-31;330.4396;5536
2025-02-03;327.1162;8433
2025-02-04;326.37;7980
2025-02-05;328.8199;5018
2025-02-06;331.7421;4923
2025-02-07;328.6685;5819
2025-02-10;329.0548;4201
2025-02-11;327.0927;8417
2025-02-12;321.7257;8328
2025-02-13;321.7238;6677
2025-02-14;322.5103;5485
2025-02-17;322.8153;4347
2025-02-18;324.7714;3864
2025-02-19;325.4346;4091
2025-02-20;319.1493;3851
2025-02-21;317.3408;2719
2025-02-24;310.7522;8991
2025-02-25;304.7594;4488
2025-02-26;309.9772;3895
2025-02-27;310.2123;2579
2025-02-28;306.6304;6154
2025-03-03;304.0656;8459
2025-03-04;289.5747;38392
2025-03-05;285.0803;7047
2025-03-06;286.8482;15633
2025-03-07;279.5349;8645
2025-03-10;280.6273;10477
2025-03-11;274.4264;10940
2025-03-12;276.161;8447
2025-03-13;273.8204;6591
2025-03-14;277.7148;3811
2025-03-17;279.68;3568
2025-03-18;278.9196;8941
2025-03-19;282.6058;4474
2025-03-20;284.4728;3751
2025-03-21;282.1297;3932
2025-03-24;289.3492;6401
2025-03-25;288.74;2940
2025-03-26;286.7666;2273
2025-03-27;285.1517;1713
2025-03-28;277.0721;2139
2025-03-31;275.3615;8938
2025-04-01;277.8145;5068
2025-04-02;278.2361;2920
2025-04-03;258.7056;13136
