date;close;volume
2025-01-02;40.438;0
2025-01-06;42.59;4057
2025-01-07;42.558;1729
2025-01-08;42.04;0
2025-01-10;41.173;17463
2025-01-13;40.526;2504
2025-01-14;40.5;8949
2025-01-15;40.64;3
2025-01-16;42.187;3672
2025-01-17;42.265;11355
2025-01-20;42.669;7772
2025-01-21;42.9;400
2025-01-22;43.7;4931
2025-01-23;43.009;319
2025-01-24;42.975;10
2025-01-27;39.249;31833
2025-01-28;38.31;7197
2025-01-29;40.088;831
2025-01-30;39.788;0
2025-02-03;40.082;1064
2025-02-04;40.018;53340
2025-02-05;39.582;10
2025-02-06;40.41;0
2025-02-10;41.033;32
2025-02-11;41;20
2025-02-12;40.6;458
2025-02-13;40.571;680
2025-02-14;40.783;3470
2025-02-17;41.017;1910
2025-02-18;41.183;1303
2025-02-19;41.389;10
2025-02-20;41.767;15
2025-02-21;41.733;2294
2025-02-25;38.806;2369
2025-02-26;39.251;14
2025-02-27;38.997;7250
2025-02-28;37.712;4027
2025-03-03;37.79;39657
2025-03-04;36.01;43760
2025-03-05;35.846;3601
2025-03-06;35.787;33
2025-03-07;34.898;10075
2025-03-11;33.969;8482
2025-03-12;35.395;15432
2025-03-13;34.713;2655
2025-03-14;35.393;10230
2025-03-17;35.613;1724
2025-03-18;35.291;2608
2025-03-19;35.554;0
2025-03-21;35.735;13
2025-03-24;36.627;5531
2025-03-25;36.592;0
2025-03-27;34.672;1906
2025-03-28;34.375;5
2025-03-31;32.996;7174
2025-04-01;33.64;4
2025-04-02;33.453;2798
2025-04-03;30.825;1
2025-04-04;29.387;119
2025-04-07;27.291;5871
2025-04-08;29.906;12886
2025-04-09;27.968;20
2025-04-10;30.955;20
2025-04-11;29.19;7552
2025-04-15;30.934;181
2025-04-16;29.35;395
2025-04-17;29.15;258
2025-04-22;28.262;181
2025-04-23;30.414;0
2025-04-25;31.571;619
2025-04-29;31.705;0
2025-05-02;32.75;64
2025-05-05;32.83;325
2025-05-06;32.14;949
2025-05-07;32.392;44
2025-05-08;33.749;547
2025-05-09;33.8;5
2025-05-12;35.79;560
2025-05-13;37.424;759
2025-05-14;37.532;2067
2025-05-15;37.339;1471
2025-05-16;37.477;1
2025-05-19;36.323;0
2025-05-21;36.47;1412
2025-05-22;36.551;5
2025-05-23;35.15;71
2025-05-26;35.15;71
2025-05-27;36.234;1019
2025-05-28;36.591;26
2025-05-29;37.5;1875
2025-05-30;35.803;1309
2025-06-02;35.668;65
2025-06-03;36.17;4
2025-06-04;37.242;116
2025-06-05;37.65;362
2025-06-06;37.717;50
2025-06-09;37.859;958
2025-06-10;38.623;131
2025-06-11;39.1;290
2025-06-12;38.426;4072
2025-06-13;37.8;121
2025-06-16;38.384;55
