date;close;volume
2025-01-02;6.1715;4874
2025-01-03;6.1261;2969
2025-01-06;6.37;10960
2025-01-07;6.375;13795
2025-01-08;6.2945;13332
2025-01-09;6.3323;4095
2025-01-10;6.294;11703
2025-01-13;6.1963;8157
2025-01-14;6.2239;7465
2025-01-15;6.3279;6755
2025-01-16;6.4286;27729
2025-01-17;6.465;11701
2025-01-20;6.5;9331
2025-01-21;6.454;3211
2025-01-22;6.5258;18986
2025-01-23;6.4909;8132
2025-01-24;6.415;19021
2025-01-27;6.2232;24529
2025-01-28;6.276;17010
2025-01-29;6.39;20910
2025-01-30;6.4413;7471
2025-01-31;6.5515;5092
2025-02-03;6.4449;26867
2025-02-04;6.5693;13297
2025-02-05;6.5547;13197
2025-02-06;6.6443;9489
2025-02-07;6.57;14858
2025-02-10;6.6741;6266
2025-02-11;6.7146;8987
2025-02-12;6.7179;12323
2025-02-13;6.85;27116
2025-02-14;6.7804;18529
2025-02-17;6.857;12611
2025-02-18;6.7997;27640
2025-02-19;6.77;21545
2025-02-20;6.806;9236
2025-02-21;6.8198;12700
2025-02-24;6.7616;38630
2025-02-25;6.65;14426
2025-02-26;6.7402;12900
2025-02-27;6.5584;30580
2025-02-28;6.4544;15859
2025-03-03;6.5678;18597
2025-03-04;6.3117;16405
2025-03-05;6.464;12516
2025-03-06;6.506;14942
2025-03-07;6.429;10718
2025-03-10;6.1876;50032
2025-03-11;6.06;39813
2025-03-12;6.2062;12286
2025-03-13;6.1357;14630
2025-03-14;6.2656;18224
2025-03-17;6.2668;7470
2025-03-18;6.3;7167
2025-03-19;6.3827;8149
2025-03-20;6.3423;4202
2025-03-21;6.3171;5448
2025-03-24;6.3881;8786
2025-03-25;6.395;3920
2025-03-26;6.251;17469
2025-03-27;6.1886;3368
2025-03-28;6.0694;12999
2025-03-31;5.954;9915
2025-04-01;6.0576;6336
2025-04-02;6.0367;5060
2025-04-03;5.7716;47686
2025-04-04;5.5865;25648
2025-04-07;5.3811;35600
2025-04-08;5.4654;23075
2025-04-09;5.2866;14621
2025-04-10;5.51;31431
2025-04-11;5.45;28484
2025-04-14;5.5764;12227
2025-04-15;5.7711;14258
2025-04-16;5.6657;16768
2025-04-17;5.5871;9446
2025-04-22;5.5121;10782
2025-04-23;5.722;16318
2025-04-24;5.8221;17473
2025-04-25;5.8169;5386
2025-04-28;5.83;6591
2025-04-29;5.8686;3093
2025-04-30;5.8727;15745
2025-05-02;6.0795;6667
2025-05-05;6.0809;6308
2025-05-06;6.0497;11489
2025-05-07;6.046;2216
2025-05-08;6.1498;12008
2025-05-09;6.1937;6563
2025-05-12;6.3564;17709
2025-05-13;6.4499;10455
2025-05-14;6.456;7300
2025-05-15;6.4658;13242
2025-05-16;6.4235;16262
2025-05-19;6.3971;9662
2025-05-20;6.3996;7344
2025-05-21;6.4425;3370
2025-05-22;6.3893;9822
2025-05-23;6.2953;23384
2025-05-26;6.3721;3059
2025-05-27;6.4539;10274
2025-05-28;6.3977;3168
2025-05-29;6.3828;4530
2025-05-30;6.3557;9978
2025-06-02;6.2883;29635
2025-06-03;6.3287;16983
2025-06-04;6.4232;6945
2025-06-05;6.45;7266
2025-06-06;6.4882;6184
2025-06-09;6.53;6971
2025-06-10;6.5523;24323
2025-06-11;6.5583;6927
2025-06-12;6.478;5835
2025-06-13;6.3355;11058
2025-06-16;6.4145;5244
2025-06-17;6.3887;6078
2025-06-18;6.3298;4002
2025-06-19;6.248;10027
2025-06-20;6.2;22199
2025-06-23;6.29;1884
2025-06-24;6.4054;6880
2025-06-25;6.4;3134
2025-06-26;6.3453;10386
2025-06-27;6.4252;23111
2025-06-30;6.4344;18171
2025-07-01;6.3558;2174
2025-07-02;6.3143;7542
2025-07-03;6.4;1265
2025-07-04;6.35;1620
2025-07-07;6.424;4875
2025-07-08;6.4843;9110
2025-07-09;6.5005;4572
