date;close;volume
2025-01-02;5.7823;1079767
2025-01-03;5.7751;639820
2025-01-06;5.8124;1102861
2025-01-07;5.77;1084157
2025-01-08;5.7717;596196
2025-01-09;5.7788;380802
2025-01-10;5.7213;618255
2025-01-13;5.7107;903898
2025-01-14;5.7036;451164
2025-01-15;5.7955;965723
2025-01-16;5.8117;388378
2025-01-17;5.8623;521926
2025-01-20;5.835;892750
2025-01-21;5.8383;588016
2025-01-22;5.8879;627572
2025-01-23;5.8982;463871
2025-01-24;5.8725;621102
2025-01-27;5.7748;1523669
2025-01-28;5.8526;808800
2025-01-29;5.8711;618478
2025-01-30;5.8838;730650
2025-01-31;5.9442;989672
2025-02-03;5.8907;1645129
2025-02-04;5.8917;1213397
2025-02-05;5.8727;673631
2025-02-06;5.9413;532776
2025-02-07;5.9322;605475
2025-02-10;5.9618;827583
2025-02-11;5.9469;686632
2025-02-12;5.9099;1022136
2025-02-13;5.9394;547892
2025-02-14;5.9266;444136
2025-02-17;5.9558;611665
2025-02-18;5.9583;546220
2025-02-19;5.9787;457638
2025-02-20;5.9203;620721
2025-02-21;5.9272;632627
2025-02-24;5.8588;1170130
2025-02-25;5.772;1010460
2025-02-26;5.8451;685306
2025-02-27;5.8544;617339
2025-02-28;5.7924;873581
2025-03-03;5.8058;943566
2025-03-04;5.6179;1801831
2025-03-05;5.5385;1437289
2025-03-06;5.5533;878574
2025-03-07;5.4484;1000387
2025-03-10;5.4079;1289881
2025-03-11;5.2969;1382374
2025-03-12;5.3528;1186926
2025-03-13;5.3123;635132
2025-03-14;5.3727;581891
2025-03-17;5.3962;877594
2025-03-18;5.375;766702
2025-03-19;5.4278;553375
2025-03-20;5.4456;685509
2025-03-21;5.4336;452174
2025-03-24;5.5311;708486
2025-03-25;5.5368;645707
2025-03-26;5.511;568440
2025-03-27;5.4899;657434
2025-03-28;5.3736;681205
2025-03-31;5.332;1380379
2025-04-01;5.4039;570079
2025-04-02;5.3996;564493
2025-04-03;5.1461;1922113
2025-04-04;4.898;2108702
2025-04-07;4.822;2678257
2025-04-08;4.9138;1765976
2025-04-09;4.688;1550238
2025-04-10;4.8753;2101715
2025-04-11;4.8336;835354
2025-04-14;4.96;770266
2025-04-15;5.0099;414379
2025-04-16;4.9497;414854
2025-04-17;4.9034;367263
2025-04-22;4.8625;734910
2025-04-23;5.0104;758231
2025-04-24;5.0476;433043
2025-04-25;5.0738;551670
2025-04-28;5.085;802582
2025-04-29;5.1079;395760
2025-04-30;5.1247;695082
2025-05-02;5.2542;774605
2025-05-05;5.2587;745345
2025-05-06;5.2334;488073
2025-05-07;5.2085;291686
2025-05-08;5.293;551672
2025-05-09;5.2886;463301
2025-05-12;5.4627;939808
2025-05-13;5.4993;459630
2025-05-14;5.4823;529344
2025-05-15;5.5034;611590
2025-05-16;5.5448;339669
2025-05-19;5.5139;668205
2025-05-20;5.5267;410354
2025-05-21;5.4811;424551
2025-05-22;5.44;567131
2025-05-23;5.384;540613
2025-05-26;5.4327;448257
2025-05-27;5.474;344125
2025-05-28;5.4803;585903
2025-05-29;5.453;435099
2025-05-30;5.4586;292262
2025-06-02;5.4271;621037
2025-06-03;5.4929;346652
2025-06-04;5.4966;420362
2025-06-05;5.4995;388057
2025-06-06;5.5199;349368
2025-06-09;5.5165;348485
2025-06-10;5.52;319797
2025-06-11;5.5169;359069
2025-06-12;5.4699;476879
2025-06-13;5.4509;363282
2025-06-16;5.4707;353769
2025-06-17;5.457;303841
2025-06-18;5.4528;309106
2025-06-19;5.4137;234172
2025-06-20;5.429;234154
2025-06-23;5.4183;375795
2025-06-24;5.4689;286128
2025-06-25;5.4614;305907
2025-06-26;5.4647;342482
2025-06-27;5.5111;446917
2025-06-30;5.5;595236
2025-07-01;5.4896;542031
2025-07-02;5.5014;392199
2025-07-03;5.5594;306722
2025-07-04;5.5223;316482
2025-07-07;5.5388;480018
2025-07-08;5.5371;279757
2025-07-09;5.5578;312058
2025-07-10;5.5973;361265
2025-07-11;5.5624;464565
2025-07-14;5.5709;377482
2025-07-15;5.5995;396917
2025-07-16;5.5219;566142
2025-07-17;5.6266;285045
2025-07-18;5.6115;373504
2025-07-21;5.6174;451860
2025-07-22;5.5805;573689
2025-07-23;5.6278;307132
2025-07-24;5.6399;331445
2025-07-25;5.6504;415924
2025-07-28;5.6997;711186
2025-07-29;5.723;542186
2025-07-30;5.7463;717863
2025-07-31;5.7601;663432
2025-08-01;5.5896;1288528
2025-08-04;5.6551;911773
2025-08-05;5.6455;507133
2025-08-06;5.6554;391095
2025-08-07;5.6668;412399
2025-08-08;5.684;339673
2025-08-11;5.7177;414348
2025-08-12;5.7181;337434
